"cd","yr_mon","clst_type","qnty","frcst_from_now"
"Z725KH-60","2016/09","A",NA,100.332466666667
"Z725KH-60","2016/10","A",NA,77.7389666666665
"Z725KH-60","2016/11","A",NA,61.1834666666665
"Z725KH-60","2016/12","A",NA,66.4172999999999
"Z725KH-60","2017/01","A",NA,100.620566666667
"Z725KH-60","2017/02","A",NA,128.573333333333
"Z725KH-60","2017/03","A",NA,196.426533333334
"Z725KH-60","2017/04","A",NA,225.827366666667
"Z725KH-60","2017/05","A",NA,199.3322
"Z725KH-60","2017/06","A",NA,162.602766666667
"Z724KH-54","2013/11","A",8,NA
"Z724KH-54","2013/12","A",14,NA
"Z724KH-54","2014/01","A",16,NA
"Z724KH-54","2014/02","A",21,NA
"Z724KH-54","2014/03","A",92,NA
"Z724KH-54","2014/04","A",197,NA
"Z724KH-54","2014/05","A",212,NA
"Z724KH-54","2014/06","A",221,NA
"Z724KH-54","2014/07","A",188,NA
"Z724KH-54","2014/08","A",123,NA
"Z724KH-54","2014/09","A",163,NA
"Z724KH-54","2014/10","A",108,NA
"Z724KH-54","2014/11","A",36,NA
"Z724KH-54","2014/12","A",62,NA
"Z724KH-54","2015/01","A",24,NA
"Z724KH-54","2015/02","A",35,NA
"Z724KH-54","2015/03","A",120,NA
"Z724KH-54","2015/04","A",230,NA
"Z724KH-54","2015/05","A",224,NA
"Z724KH-54","2015/06","A",184,NA
"Z724KH-54","2015/07","A",133,NA
"Z724KH-54","2015/08","A",87,NA
"Z724KH-54","2015/09","A",61,NA
"Z724KH-54","2015/10","A",45,NA
"Z724KH-54","2015/11","A",21,NA
"Z724KH-54","2015/12","A",21,NA
"Z724KH-54","2016/01","A",7,NA
"Z724KH-54","2016/02","A",14,NA
"Z724KH-54","2016/03","A",110,NA
"Z724KH-54","2016/04","A",145,NA
"Z724KH-54","2016/05","A",112,NA
"Z724KH-54","2016/06","A",143,143
"Z724KH-54","2016/07","A",NA,117.096781128427
"Z724KH-54","2016/08","A",NA,88.8708261315737
"Z724KH-54","2016/09","A",NA,73.6080987084598
"Z724KH-54","2016/10","A",NA,51.5967537019646
"Z724KH-54","2016/11","A",NA,36.4985949742486
"Z724KH-54","2016/12","A",NA,30.9641686753739
"Z724KH-54","2017/01","A",NA,22.477931071117
"Z724KH-54","2017/02","A",NA,47.3197064330764
"Z724KH-54","2017/03","A",NA,90.4534933581432
"Z724KH-54","2017/04","A",NA,113.740949808665
"Z724KH-54","2017/05","A",NA,128.225797838914
"Z724KH-54","2017/06","A",NA,134.908693150767
"Z723KH-48","2013/11","A",3,NA
"Z723KH-48","2013/12","A",8,NA
"Z723KH-48","2014/01","A",12,NA
"Z723KH-48","2014/02","A",6,NA
"Z723KH-48","2014/03","A",48,NA
"Z723KH-48","2014/04","A",102,NA
"Z723KH-48","2014/05","A",91,NA
"Z723KH-48","2014/06","A",88,NA
"Z723KH-48","2014/07","A",58,NA
"Z723KH-48","2014/08","A",68,NA
"Z723KH-48","2014/09","A",69,NA
"Z723KH-48","2014/10","A",53,NA
"Z723KH-48","2014/11","A",21,NA
"Z723KH-48","2014/12","A",41,NA
"Z723KH-48","2015/01","A",11,NA
"Z723KH-48","2015/02","A",25,NA
"Z723KH-48","2015/03","A",68,NA
"Z723KH-48","2015/04","A",115,NA
"Z723KH-48","2015/05","A",81,NA
"Z723KH-48","2015/06","A",98,NA
"Z723KH-48","2015/07","A",60,NA
"Z723KH-48","2015/08","A",48,NA
"Z723KH-48","2015/09","A",36,NA
"Z723KH-48","2015/10","A",23,NA
"Z723KH-48","2015/11","A",11,NA
"Z723KH-48","2015/12","A",14,NA
"Z723KH-48","2016/01","A",9,NA
"Z723KH-48","2016/02","A",8,NA
"Z723KH-48","2016/03","A",73,NA
"Z723KH-48","2016/04","A",77,NA
"Z723KH-48","2016/05","A",69,NA
"Z723KH-48","2016/06","A",58,58
"Z723KH-48","2016/07","A",NA,49.107404062023
"Z723KH-48","2016/08","A",NA,40.0114784345052
"Z723KH-48","2016/09","A",NA,33.3146173777126
"Z723KH-48","2016/10","A",NA,22.8934206715513
"Z723KH-48","2016/11","A",NA,21.0672760145357
"Z723KH-48","2016/12","A",NA,17.2397212356733
"Z723KH-48","2017/01","A",NA,19.0005131812595
"Z723KH-48","2017/02","A",NA,46.5700948936859
"Z723KH-48","2017/03","A",NA,74.1765780744605
"Z723KH-48","2017/04","A",NA,72.6992397104826
"Z723KH-48","2017/05","A",NA,65.2138045822477
"Z723KH-48","2017/06","A",NA,55.6578515570073
"Z125SKH-54","2014/02","E",1,NA
"Z125SKH-54","2014/03","E",60,NA
"Z125SKH-54","2014/04","E",271,NA
"Z125SKH-54","2014/05","E",358,NA
"Z125SKH-54","2014/06","E",379,NA
"Z125SKH-54","2014/07","E",310,NA
"Z125SKH-54","2014/08","E",222,NA
"Z125SKH-54","2014/09","E",210,NA
"Z125SKH-54","2014/10","E",109,NA
"Z125SKH-54","2014/11","E",48,NA
"Z125SKH-54","2014/12","E",69,NA
"Z125SKH-54","2015/01","E",32,NA
"Z125SKH-54","2015/02","E",64,NA
"Z125SKH-54","2015/03","E",301,NA
"Z125SKH-54","2015/04","E",756,NA
"Z125SKH-54","2015/05","E",759,NA
"Z125SKH-54","2015/06","E",665,NA
"Z125SKH-54","2015/07","E",522,NA
"Z125SKH-54","2015/08","E",273,NA
"Z125SKH-54","2015/09","E",207,NA
"Z125SKH-54","2015/10","E",107,NA
"Z125SKH-54","2015/11","E",58,NA
"Z125SKH-54","2015/12","E",57,NA
"Z125SKH-54","2016/01","E",33,NA
"Z125SKH-54","2016/02","E",86,NA
"Z125SKH-54","2016/03","E",576,NA
"Z125SKH-54","2016/04","E",787,NA
"Z125SKH-54","2016/05","E",748,NA
"Z125SKH-54","2016/06","E",621,621
"Z125SKH-54","2016/07","E",NA,523.947618168209
"Z125SKH-54","2016/08","E",NA,301.584281810266
"Z125SKH-54","2016/09","E",NA,212.397116802562
"Z125SKH-54","2016/10","E",NA,98.6916413253882
"Z125SKH-54","2016/11","E",NA,59.7442823342758
"Z125SKH-54","2016/12","E",NA,45.3361254142121
"Z125SKH-54","2017/01","E",NA,46.0418058085637
"Z125SKH-54","2017/02","E",NA,166.348671708382
"Z125SKH-54","2017/03","E",NA,564.860653110684
"Z125SKH-54","2017/04","E",NA,749.250934888424
